lat,lon,temp,humid,cloud,wind
-38.0,-57.56,285.3,66,90,9.3
50.68,156.12,274.38,89,100,14.86
-41.41,175.52,284.87,62,56,7.7
-31.95,141.43,284.15,66,86,4.1
45.25,-73.8,284.23,37,75,3.1
59.38,143.3,275.0,84,23,5.93
43.8,-91.24,284.58,58,75,2.1
-22.97,-42.03,297.15,83,81,2.6
29.03,21.55,290.82,47,0,4.67
-21.21,-159.78,300.15,74,63,2.6
-34.42,19.23,288.71,90,73,0.45
64.89,-23.71,279.01,87,24,3.89
-32.55,115.7,286.48,64,57,7.6
19.22,-104.7,301.15,74,20,5.1
45.52,-122.68,295.69,40,20,2.1
35.73,140.83,288.15,93,75,3.6
59.57,150.8,274.84,78,100,5.78
70.37,31.11,277.15,64,75,4.1
32.67,-17.1,289.86,77,40,1.0
6.88,73.1,302.96,79,78,4.8
63.75,-68.51,266.04,67,5,4.6
71.69,128.87,266.29,97,100,3.63
8.0,124.29,299.26,90,50,2.24
29.98,-109.78,310.7,8,0,2.6
-51.62,-69.22,278.15,75,71,2.6
65.28,-126.83,281.15,52,20,5.7
-30.18,-50.21,292.4,86,95,3.2
33.23,105.02,285.61,89,63,1.91
60.92,-46.05,280.15,70,100,2.1
-14.9,50.28,296.11,88,26,2.89
62.23,-6.59,280.15,81,79,7.7
10.07,34.53,294.99,58,0,0.99
63.29,18.72,278.15,60,100,1.5
-36.83,-73.05,289.15,77,0,3.6
56.55,-3.27,279.28,83,0,0.89
-9.11,124.89,298.05,85,36,1.59
59.1,27.31,279.45,82,37,3.6
59.58,151.28,275.26,76,100,6.8
64.9,45.76,272.24,98,92,1.21
-25.24,130.99,280.15,39,1,3.1
54.81,105.16,277.18,73,70,2.58
-20.74,116.85,293.61,62,73,2.16
46.54,138.33,279.4,72,41,3.1
29.8,66.84,290.55,29,0,3.95
13.17,44.58,299.9,68,96,2.38
-22.28,166.46,294.52,77,100,3.1
-38.55,-58.74,284.82,72,91,9.39
19.22,-98.81,298.18,12,75,3.6
11.5,42.5,303.15,79,75,6.53
-38.27,141.97,285.93,60,100,7.01
54.43,31.9,283.76,96,90,2.32
-35.35,150.47,286.6,71,79,6.7
37.5,61.97,292.15,72,0,3.13
19.73,-155.09,297.49,51,90,4.34
-18.77,46.03,290.66,85,0,1.18
22.89,-109.91,304.7,27,5,2.1
69.38,178.42,267.15,93,3,3.82
8.41,20.65,297.13,81,100,2.27
68.75,161.3,271.09,93,74,1.5
68.05,39.51,275.06,86,78,9.38
42.78,-9.06,289.26,86,71,4.02
60.8,40.09,281.92,97,100,3.57
-0.95,122.79,300.35,77,9,1.54
-10.13,-36.18,298.79,87,63,4.08
22.95,-102.05,299.15,24,75,7.7
23.48,-103.88,297.91,25,42,4.48
66.77,123.37,273.79,98,100,1.44
39.34,29.26,280.89,87,10,0.31
7.77,-72.22,306.15,41,40,6.2
63.84,-22.43,279.15,81,75,5.7
25.8,113.03,297.57,88,75,0.15
67.47,86.58,264.5,94,96,1.54
54.78,-127.17,286.15,37,75,1.5
64.84,-147.72,287.9,30,20,3.1
52.52,99.83,272.69,79,1,3.7
29.05,-109.23,314.21,7,0,5.44
-46.28,169.85,286.48,65,94,6.71
16.89,-24.98,296.15,73,20,9.3
48.23,-101.3,285.21,66,90,5.7
9.97,98.63,299.78,83,1,0.95
36.62,-121.92,289.84,63,1,4.1
42.16,-72.33,287.09,26,20,4.6
-45.58,-72.07,280.15,81,39,1.0
37.87,112.56,283.15,66,54,1.0
24.7,-77.77,300.15,61,20,3.6
4.85,31.58,297.46,77,53,1.89
2.04,45.34,301.31,82,94,5.96
43.06,44.74,285.15,100,100,2.0
14.3,-91.92,297.15,94,90,3.1
78.22,15.64,271.15,74,75,11.8
